Timestamp,Region,RawOCRResult
2025-04-18 20:13:50,Temperature,"[([[np.int32(15), np.int32(19)], [np.int32(128), np.int32(19)], [np.int32(128), np.int32(71)], [np.int32(15), np.int32(71)]], '10.49', np.float64(0.7309718671898958))]"
2025-04-18 20:13:51,WeatherDesc,"[([[np.int32(131), np.int32(13)], [np.int32(173), np.int32(13)], [np.int32(173), np.int32(55)], [np.int32(131), np.int32(55)]], '2', np.float64(0.512633069432141)), ([[np.int32(180), np.int32(20)], [np.int32(308), np.int32(20)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 0.3 mls', np.float64(0.8423306001019201))]"
2025-04-18 20:13:53,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7961294529462702))]"
2025-04-18 20:13:53,GameTime,"[([[0, 0], [70, 0], [70, np.int32(30)], [0, np.int32(30)]], '04.10', np.float64(0.9998910828532234))]"
2025-04-18 20:13:55,FishName,"[([[np.int32(52), np.int32(56)], [np.int32(190), np.int32(56)], [np.int32(190), np.int32(106)], [np.int32(52), np.int32(106)]], 'Tench', np.float64(0.9986718255818889))]"
2025-04-18 20:13:56,FishWeight,"[([[np.float64(328.92942454485564), np.float64(9.145928361480237)], [np.float64(403.8441023725), np.float64(18.894162331198636)], [np.float64(398.07057545514436), np.float64(52.85407163851976)], [np.float64(323.1558976275), np.float64(42.105837668801364)]], '548g', np.float64(0.9555305242538452))]"
2025-04-18 20:13:57,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.7602077751838575)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.99997210966799))]"
2025-04-18 20:16:45,Temperature,"[([[np.int32(16), np.int32(20)], [np.int32(128), np.int32(20)], [np.int32(128), np.int32(70)], [np.int32(16), np.int32(70)]], '10.80', np.float64(0.45601811648954743))]"
2025-04-18 20:16:46,WeatherDesc,"[([[np.int32(131), np.int32(13)], [np.int32(173), np.int32(13)], [np.int32(173), np.int32(55)], [np.int32(131), np.int32(55)]], '2', np.float64(0.935353821056939)), ([[np.int32(180), np.int32(20)], [np.int32(308), np.int32(20)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 0.3 mls', np.float64(0.5155539383808033))]"
2025-04-18 20:16:48,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.8250068686112412))]"
2025-04-18 20:16:48,GameTime,"[([[0, 0], [70, 0], [70, np.int32(30)], [0, np.int32(30)]], '06.36', np.float64(0.6759189542812937))]"
2025-04-18 20:16:49,FishName,"[([[np.int32(54), np.int32(58)], [np.int32(196), np.int32(58)], [np.int32(196), np.int32(106)], [np.int32(54), np.int32(106)]], 'Bream', np.float64(0.5698617005040816))]"
2025-04-18 20:16:50,FishWeight,"[([[np.int32(329), np.int32(15)], [np.int32(401), np.int32(15)], [np.int32(401), np.int32(51)], [np.int32(329), np.int32(51)]], '737g', np.float64(0.7579410076141357))]"
2025-04-18 20:16:52,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.799812969643127)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999706227773253))]"
2025-04-18 20:16:59,Temperature,"[([[np.int32(16), np.int32(22)], [np.int32(114), np.int32(22)], [np.int32(114), np.int32(70)], [np.int32(16), np.int32(70)]], '10.9', np.float64(0.6757844936904683))]"
2025-04-18 20:17:00,WeatherDesc,"[([[np.int32(133), np.int32(15)], [np.int32(311), np.int32(15)], [np.int32(311), np.int32(55)], [np.int32(133), np.int32(55)]], 'P8,NE4O.3 mls', np.float64(0.12919570549431955))]"
2025-04-18 20:17:02,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7808407785157062))]"
2025-04-18 20:17:03,GameTime,"[([[0, 0], [70, 0], [70, np.int32(30)], [0, np.int32(30)]], '06.54', np.float64(0.8973071706353225))]"
2025-04-18 20:17:04,FishName,"[([[np.int32(51), np.int32(52)], [np.int32(285), np.int32(52)], [np.int32(285), np.int32(119)], [np.int32(51), np.int32(119)]], 'Gibel Carp', np.float64(0.9376457483859812))]"
2025-04-18 20:17:05,FishWeight,"[([[np.float64(329.92942454485564), np.float64(9.145928361480237)], [np.float64(403.82540628420537), np.float64(18.83112585760392)], [np.float64(398.07057545514436), np.float64(52.85407163851976)], [np.float64(324.17459371579463), np.float64(43.16887414239608)]], '576g', np.float64(0.9493875503540039))]"
2025-04-18 20:17:06,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.7951673243360916)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999720646107076))]"
2025-04-18 20:18:15,Temperature,"[([[np.int32(16), np.int32(20)], [np.int32(128), np.int32(20)], [np.int32(128), np.int32(70)], [np.int32(16), np.int32(70)]], '11.20', np.float64(0.8347518648286727))]"
2025-04-18 20:18:16,WeatherDesc,"[([[np.int32(180), np.int32(20)], [np.int32(310), np.int32(20)], [np.int32(310), np.int32(50)], [np.int32(180), np.int32(50)]], 'NE 0.3 m/s', np.float64(0.939386323877027))]"
2025-04-18 20:18:18,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7659923667512358))]"
2025-04-18 20:18:19,GameTime,"[([[0, 0], [np.int32(70), 0], [np.int32(70), np.int32(30)], [0, np.int32(30)]], '07.43', np.float64(0.9994214092144897))]"
2025-04-18 20:18:20,FishName,"[([[np.int32(54), np.int32(58)], [np.int32(180), np.int32(58)], [np.int32(180), np.int32(106)], [np.int32(54), np.int32(106)]], 'Perch', np.float64(0.9999909369526029))]"
2025-04-18 20:18:21,FishWeight,"[([[np.int32(329), np.int32(13)], [np.int32(399), np.int32(13)], [np.int32(399), np.int32(49)], [np.int32(329), np.int32(49)]], '105g', np.float64(0.9959361553192139))]"
2025-04-18 20:18:22,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.7931654755609191)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999699469176964))]"
2025-04-18 20:18:35,Temperature,[]
2025-04-18 20:18:36,WeatherDesc,[]
2025-04-18 20:28:14,Temperature,"[([[np.int32(13), np.int32(18)], [np.int32(94), np.int32(18)], [np.int32(94), np.int32(71)], [np.int32(13), np.int32(71)]], '150', np.float64(0.7803126502103419))]"
2025-04-18 20:28:14,WeatherDesc,"[([[np.int32(180), np.int32(18)], [np.int32(308), np.int32(18)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 0.3 mls', np.float64(0.6218233260916346))]"
2025-04-18 20:28:16,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7806255426054499))]"
2025-04-18 20:28:17,GameTime,"[([[0, 0], [70, 0], [70, np.int32(30)], [0, np.int32(30)]], '08.20', np.float64(0.5730968420358441))]"
2025-04-18 20:28:18,FishName,"[([[np.int32(54), np.int32(58)], [np.int32(180), np.int32(58)], [np.int32(180), np.int32(106)], [np.int32(54), np.int32(106)]], 'Perch', np.float64(0.9999909369526029))]"
2025-04-18 20:28:19,FishWeight,"[([[np.int32(341), np.int32(15)], [np.int32(401), np.int32(15)], [np.int32(401), np.int32(51)], [np.int32(341), np.int32(51)]], '94g', np.float64(0.3791508674621582))]"
2025-04-18 20:28:20,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.7950442460571524)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999723800116705))]"
2025-04-18 20:28:29,Temperature,"[([[np.int32(105), np.int32(25)], [np.int32(123), np.int32(25)], [np.int32(123), np.int32(47)], [np.int32(105), np.int32(47)]], '0', np.float64(0.7981234668407249)), ([[np.int32(16), np.int32(22)], [np.int32(110), np.int32(22)], [np.int32(110), np.int32(70)], [np.int32(16), np.int32(70)]], '15.1', np.float64(0.9999316334724426))]"
2025-04-18 20:28:30,WeatherDesc,"[([[np.int32(131), np.int32(13)], [np.int32(173), np.int32(13)], [np.int32(173), np.int32(55)], [np.int32(131), np.int32(55)]], '2', np.float64(0.9598901634868504)), ([[np.int32(180), np.int32(20)], [np.int32(308), np.int32(20)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 0.3 mls', np.float64(0.6197743749214334))]"
2025-04-18 20:28:32,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7875608232138518))]"
2025-04-18 20:28:33,GameTime,"[([[0, 0], [np.int32(68), 0], [np.int32(68), np.int32(30)], [0, np.int32(30)]], '08.31', np.float64(0.5957576069363073))]"
2025-04-18 20:28:34,FishName,"[([[np.int32(52), np.int32(56)], [np.int32(394), np.int32(56)], [np.int32(394), np.int32(106)], [np.int32(52), np.int32(106)]], 'Common Roach', np.float64(0.9993983779255683))]"
2025-04-18 20:28:35,FishWeight,"[([[np.int32(328), np.int32(16)], [np.int32(398), np.int32(16)], [np.int32(398), np.int32(48)], [np.int32(328), np.int32(48)]], '355g', np.float64(0.9904960989952087))]"
2025-04-18 20:28:36,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.82929302699399)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999732360998365))]"
2025-04-18 20:31:50,Temperature,"[([[np.int32(15), np.int32(18)], [np.int32(129), np.int32(18)], [np.int32(129), np.int32(71)], [np.int32(15), np.int32(71)]], '16.20', np.float64(0.8416755929697031))]"
2025-04-18 20:31:50,WeatherDesc,"[([[np.int32(133), np.int32(15)], [np.int32(173), np.int32(15)], [np.int32(173), np.int32(55)], [np.int32(133), np.int32(55)]], '2', np.float64(0.9181188696857134)), ([[np.int32(180), np.int32(20)], [np.int32(308), np.int32(20)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 0.3 mls', np.float64(0.5169146648582832))]"
2025-04-18 20:31:52,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.8153136632105867))]"
2025-04-18 20:31:53,GameTime,"[([[np.int32(2), 0], [np.int32(68), 0], [np.int32(68), np.int32(30)], [np.int32(2), np.int32(30)]], '1221', np.float64(0.8663991177915444))]"
